title	year	rated	released	runtime	genre	director	writer	actors	plot	language	country	awards	poster	ratings	meta_score	imdb_rating	imdb_votes	id	type	dvd	box_office	production	website	response
The Brady Bunch Movie	1995	PG-13	17 Feb 1995	90 min	Comedy	Betty Thomas	Sherwood Schwartz, Laurice Elehwany, Rick Copp	Shelley Long, Gary Cole, Christine Taylor	The original 70s TV family is now placed in the 1990s, where they're even more square and out of place than ever.	English	United States	3 nominations	https://m.media-amazon.com/images/M/MV5BNmVmYzkzY2YtZWNkNC00YzVhLTk4MzYtZWMxZWQ0YzBhZmYzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg	[object Object],[object Object],[object Object]	54	6.1	22,500	tt0112572	movie	10 Jun 2003	$46,576,136	N/A	N/A	True
Pokémon the Movie 2000	1999	G	21 Jul 2000	99 min	Animation, Action, Adventure	Michael Haigney, Kunihiko Yuyama	Satoshi Tajiri, Takeshi Shudo, Norman J. Grossfeld	Veronica Taylor, Rica Matsumoto, Ikue Ôtani	Ash Ketchum must gather the three spheres of fire, ice and lightning in order to restore balance to the Orange Islands.	Japanese	Japan, United States	2 nominations	https://m.media-amazon.com/images/M/MV5BNzE1NjBiODAtNDVhNS00ZTI1LTg4ZjUtZTk3OWVhODljMjNjXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg	[object Object],[object Object]	28	6.0	22,236	tt0210234	movie	N/A	$43,758,684	N/A	N/A	True
Indie Game: The Movie	2012	Not Rated	15 Sep 2012	103 min	Documentary, Drama	Lisanne Pajot, James Swirsky	N/A	Jonathan Blow, Brandon Boyer, Renaud Bédard	A documentary that follows the journeys of indie game developers as they create games and release those works, and themselves, to the world.	English, French	Canada	3 wins & 6 nominations	https://m.media-amazon.com/images/M/MV5BMjA5NTUzMjQ1MV5BMl5BanBnXkFtZTcwMzc1MzQ4Nw@@._V1_SX300.jpg	[object Object],[object Object],[object Object]	73	7.6	21,065	tt1942884	movie	02 Mar 2017	N/A	N/A	N/A	True
The Rugrats Movie	1998	G	20 Nov 1998	79 min	Animation, Adventure, Comedy	Igor Kovalyov, Norton Virgien	David N. Weiss, J. David Stem, Arlene Klasky	Elizabeth Daily, Christine Cavanaugh, Kath Soucie	The babies gets lost in the forest after Tommy Pickles gets a new baby brother.	English	United States	2 wins & 6 nominations	https://m.media-amazon.com/images/M/MV5BZjNiMWE1M2ItMTdlNi00NmZiLWEwYzctODJiMjU1MmY0MTlmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg	[object Object],[object Object]	N/A	5.9	19,399	tt0134067	movie	30 Mar 1999	$100,494,675	N/A	N/A	True
The Tigger Movie	2000	G	11 Feb 2000	77 min	Animation, Adventure, Comedy	Jun Falkenstein	Eddie Guzelian, Jun Falkenstein, A.A. Milne	Jim Cummings, Nikita Hopkins, Ken Sansom	Tigger goes looking through the hundred-acre-wood to find his family.	English	Japan, United States	4 nominations	https://m.media-amazon.com/images/M/MV5BMjgwMjljMmItZGNkZC00MTY0LTllZDctZWQzYjYyMzczMTI0XkEyXkFqcGdeQXVyOTg4MDk3MTQ@._V1_SX300.jpg	[object Object],[object Object],[object Object]	53	6.3	18,955	tt0220099	movie	22 Aug 2000	$45,554,533	N/A	N/A	True
The Kentucky Fried Movie	1977	R	04 Nov 1978	83 min	Comedy	John Landis	David Zucker, Jim Abrahams, Jerry Zucker	Evan C. Kim, Bong Soo Han, Bill Bixby	A series of short, highly irreverent, and often tasteless skits.	English, Korean	United States	N/A	https://m.media-amazon.com/images/M/MV5BOGRjZTJiMjYtNjkyZS00NTgwLWI3ODAtMDRlODdkMjQ2YjY3XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg	[object Object],[object Object],[object Object]	61	6.4	18,747	tt0076257	movie	06 Jun 2000	N/A	N/A	N/A	True
Mystery Science Theater 3000: The Movie	1996	PG-13	19 Apr 1996	73 min	Comedy, Drama, Fantasy	Jim Mallon	Michael J. Nelson, Trace Beaulieu, Jim Mallon	Trace Beaulieu, Michael J. Nelson, Jim Mallon	Mike Nelson and his robot companions watch and give their comments about This Island Earth (1955).	English	United States	1 nomination	https://m.media-amazon.com/images/M/MV5BYzNmN2UzNTAtNmZkMS00MmI3LThhNzEtNjI1YjJlN2JiZjU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg	[object Object],[object Object],[object Object]	65	7.3	18,420	tt0117128	movie	06 May 2008	$1,007,306	N/A	N/A	True
Wizards of Waverly Place: The Movie	2009	TV-G	28 Aug 2009	94 min	Action, Adventure, Comedy	Lev L. Spiro	Todd J. Greenwald, Dan Berendsen	Selena Gomez, David Henrie, Jake T. Austin	A young wizard conjures a spell that puts her family in jeopardy.	English, Russian	United States	Won 1 Primetime Emmy. 2 wins & 4 nominations total	https://m.media-amazon.com/images/M/MV5BZDVmMjFjZTEtMjc3NC00YTNmLWEwN2EtYzA2MGY3NDJlOTYxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTEwMTkwOTI@._V1_SX300.jpg	[object Object]	N/A	6.2	18,251	tt1369845	movie	15 Dec 2009	N/A	N/A	N/A	True
American Movie	1999	R	13 Apr 2000	107 min	Documentary, Comedy	Chris Smith	N/A	Mark Borchardt, Mike Schank, Tom Schimmels	Documentary about an aspiring filmmaker's attempts to finance his dream project by finally completing the low-budget horror film he abandoned years before.	English	United States	6 wins & 6 nominations	https://m.media-amazon.com/images/M/MV5BMjMxMDFhYzQtZDZmZS00ZDBjLWIzY2QtNDBiMDQ5YjBlNTk1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg	[object Object],[object Object],[object Object]	84	7.8	17,899	tt0181288	movie	23 May 2000	$1,165,795	N/A	N/A	True
The SpongeBob Movie: Sponge on the Run	2020	PG	04 Mar 2021	91 min	Animation, Adventure, Comedy	Tim Hill	Tim Hill, Jonathan Aibel, Glenn Berger	Tim Hill, Clancy Brown, Bill Fagerbakke	After SpongeBob's beloved pet snail Gary is snail-napped, he and Patrick embark on an epic adventure to The Lost City of Atlantic City to bring Gary home.	English, Arabic	United States, South Korea	3 nominations	https://m.media-amazon.com/images/M/MV5BYjlhOGVjOGYtMjZjOS00MzUxLThlZmUtMzE0OTZlMGM4ZTc3XkEyXkFqcGdeQXVyMTM0NTUzNDIy._V1_SX300.jpg	[object Object],[object Object],[object Object]	65	5.9	17,627	tt4823776	movie	04 Mar 2021	$4,810,790	N/A	N/A	True
Silent Movie	1976	Passed	16 Jun 1976	87 min	Comedy	Mel Brooks	Mel Brooks, Ron Clark, Rudy De Luca	Mel Brooks, Marty Feldman, Dom DeLuise	A film director and his strange friends struggle to produce the first major silent feature film in forty years.	English	United States	1 win & 6 nominations	https://m.media-amazon.com/images/M/MV5BZWFkMmJhODItMDA2MC00NDFmLTllNzItYzE1YWMzYjVmYjFiXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg	[object Object],[object Object],[object Object]	75	6.7	17,275	tt0075222	movie	04 Apr 2006	$36,145,695	N/A	N/A	True
Tales from the Darkside: The Movie	1990	R	04 May 1990	93 min	Comedy, Fantasy, Horror	John Harrison	Michael McDowell, Arthur Conan Doyle, Stephen King	Debbie Harry, Matthew Lawrence, Christian Slater	A young boy tells three stories of horror to distract a witch who plans to eat him.	English	United States	1 win	https://m.media-amazon.com/images/M/MV5BODI4ZTI1ZjMtYmE5MC00NTM5LTgwMDgtNWI1ZTI1MDYyOGYyXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg	[object Object],[object Object],[object Object]	54	6.2	17,264	tt0100740	movie	25 Sep 2001	$16,324,573	N/A	N/A	True
The Onion Movie	2008	Not Rated	07 Jan 2008	86 min	Comedy	Tom Kuntz, Mike Maguire	Todd Hanson, Robert Siegel	Len Cariou, Sarah McElligott, Amir Talai	Satirical interpretations of world events and curious human behavior.	English, Russian, Spanish	United States	N/A	https://m.media-amazon.com/images/M/MV5BNDdkMDUxMmUtNWQ1Yi00OWY3LWI2ZDktOTBmNzVkMTAwODM5XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg	[object Object]	N/A	6.2	15,950	tt0392878	movie	03 Jun 2008	N/A	N/A	N/A	True
The Greatest Movie Ever Sold	2011	PG-13	24 Aug 2011	90 min	Documentary, Comedy	Morgan Spurlock	Jeremy Chilnick, Morgan Spurlock	J.J. Abrams, Peter Berg, Paul Brennan	A documentary about branding, advertising and product placement that is financed and made possible by brands, advertising and product placement.	English	United States	2 wins & 5 nominations	https://m.media-amazon.com/images/M/MV5BMTM5NzQxOTQwNV5BMl5BanBnXkFtZTcwNDAwODM2NA@@._V1_SX300.jpg	[object Object],[object Object],[object Object]	66	6.6	14,956	tt1743720	movie	23 Aug 2011	$638,476	N/A	N/A	True
The Last: Naruto the Movie	2014	TV-14	06 Oct 2015	112 min	Animation, Action, Adventure	Tsuneo Kobayashi	Masashi Kishimoto, Mauro Kyôzuka, Seth Walther	Junko Takeuchi, Nana Mizuki, Jun Fukuyama	Hinata Hyuga's younger sister has been kidnapped, so Naruto must do what he can to save her.	Japanese	Japan	3 nominations	https://m.media-amazon.com/images/M/MV5BMjk1NzA4Njg4Ml5BMl5BanBnXkFtZTgwMDgxODQ5MzE@._V1_SX300.jpg	[object Object]	N/A	7.6	14,828	tt3717532	movie	06 Oct 2015	$524,451	N/A	N/A	True
Cheech and Chong's Next Movie	1980	R	18 Jul 1980	99 min	Comedy, Crime, Sci-Fi	Tommy Chong	Tommy Chong, Cheech Marin	Cheech Marin, Tommy Chong, Evelyn Guerrero	Cheech and Chong live in a decrepit old house and drive their neighbour crazy with their loud music, weed smoking and general anarchy and slacker view on life. Then Chong meets Cheech's Texan cousin Red and things kick up a notch.	English	United States	1 nomination	https://m.media-amazon.com/images/M/MV5BODk3YmQxZmYtNTdkMi00MDI2LTg1Y2ItNjVjMzhmNWQwYzA1XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg	[object Object],[object Object]	66	6.0	14,111	tt0080520	movie	26 Dec 2006	$41,675,194	N/A	N/A	True
Pokémon 3 the Movie: Spell of the Unown	2000	G	06 Apr 2001	93 min	Animation, Action, Adventure	Kunihiko Yuyama	Marc M., Takeshi Shudo, Hideki Sonoda	Veronica Taylor, Eric Stuart, Rica Matsumoto	In the town of Greenfield, a young, lonely girl's dreams and wishes are brought into reality by a collective of reality-warping Pokémon.	Japanese	Japan	N/A	https://m.media-amazon.com/images/M/MV5BMTk0NzM3MDY1OV5BMl5BanBnXkFtZTYwNTkwODc5._V1_SX300.jpg	[object Object]	N/A	5.8	14,093	tt0235679	movie	N/A	$17,052,128	N/A	N/A	True
Aqua Teen Hunger Force Colon Movie Film for Theaters	2007	R	13 Apr 2007	86 min	Animation, Action, Adventure	Matt Maiellaro, Dave Willis	Matt Maiellaro, Dave Willis	Dana Snyder, Dave Willis, Carey Means	An action epic that explores the origins of Master Shake, Frylock, and Meatwad, better known as the Aqua Teen Hunger Force, who somehow become pitted in a battle over an immortal piece of exercise equipment.	English	United States	N/A	https://m.media-amazon.com/images/M/MV5BMTc0OTQwNzYyNF5BMl5BanBnXkFtZTcwMDc5NTM0MQ@@._V1_SX300.jpg	[object Object],[object Object],[object Object]	54	6.6	13,992	tt0455326	movie	14 Aug 2007	$5,520,368	N/A	N/A	True
A Shaun the Sheep Movie: Farmageddon	2019	G	14 Feb 2020	86 min	Animation, Adventure, Comedy	Will Becher, Richard Phelan	Mark Burton, Jon Brown, Richard Starzak	Justin Fletcher, John Sparkes, Amalia Vitale	When an alien with amazing powers crash-lands near Mossy Bottom Farm, Shaun the Sheep goes on a mission to shepherd the intergalactic visitor home before a sinister organization can capture her.	English	United Kingdom, France, Belgium, United States	Nominated for 1 Oscar. 2 wins & 21 nominations total	https://m.media-amazon.com/images/M/MV5BNTdjZjBkMDMtODBlNi00N2E0LWE1OGItOTgxODNmMDkzNGJmXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_SX300.jpg	[object Object],[object Object],[object Object]	79	6.8	13,553	tt6193408	movie	14 Feb 2020	N/A	N/A	N/A	True
Santa Claus: The Movie	1985	PG	27 Nov 1985	107 min	Adventure, Family, Fantasy	Jeannot Szwarc	David Newman, Leslie Newman	Dudley Moore, John Lithgow, David Huddleston	The legend of Santa Claus is put in jeopardy when an unscrupulous toy manufacturer attempts to take over Christmas.	English	United Kingdom, United States	N/A	https://m.media-amazon.com/images/M/MV5BZDc1OGVkMmQtYTU0NC00ZTc4LWIyNjItM2IzYzcwNTA1ZmJmXkEyXkFqcGdeQXVyMjY3MjUzNDk@._V1_SX300.jpg	[object Object],[object Object]	N/A	6.3	13,431	tt0089961	movie	04 Oct 2005	$23,717,291	N/A	N/A	True
My Scientology Movie	2015	Not Rated	10 Mar 2017	99 min	Documentary	John Dower	John Dower, Louis Theroux	Louis Theroux, Tom Cruise, Marty Rathbun	Louis Theroux documents his investigation into what goes on behind the scenes of the infamous Church of Scientology.	English	United Kingdom	4 nominations	https://m.media-amazon.com/images/M/MV5BMTQ5NTI2NDc3NF5BMl5BanBnXkFtZTgwNDA3ODk2MTI@._V1_SX300.jpg	[object Object],[object Object],[object Object]	62	6.6	12,925	tt5111874	movie	10 Mar 2017	$22,936	N/A	N/A	True
Trailer Park Boys: The Movie	2006	R	06 Oct 2006	95 min	Comedy, Crime	Mike Clattenburg	Mike Clattenburg, Robb Wells	Robb Wells, John Paul Tremblay, Mike Smith	Ricky, Julian and Bubbles come up with a scheme to steal large amounts of untraceable coins.	English	Canada	3 nominations	https://m.media-amazon.com/images/M/MV5BMTY5Mzg4MDM1M15BMl5BanBnXkFtZTcwNTk4MzkzMQ@@._V1_SX300.jpg	[object Object],[object Object],[object Object]	38	7.1	12,912	tt0425601	movie	22 Apr 2008	$3,860,678	N/A	N/A	True
Absolutely Fabulous: The Movie	2016	R	22 Jul 2016	91 min	Comedy, Crime	Mandie Fletcher	Jennifer Saunders	Jennifer Saunders, Joanna Lumley, Jane Horrocks	After attracting both media and police attention for accidentally knocking Kate Moss into the River Thames, Edina and Patsy hide out in the south of France.	English, French	United Kingdom, United States	1 win & 8 nominations	https://m.media-amazon.com/images/M/MV5BMjI4NDI5MDg2OV5BMl5BanBnXkFtZTgwNzA5ODQ3ODE@._V1_SX300.jpg	[object Object],[object Object],[object Object]	59	5.4	12,548	tt2112096	movie	29 Nov 2016	$4,772,155	N/A	N/A	True
Ultimate Avengers: The Movie	2006	PG-13	21 Feb 2006	72 min	Animation, Action, Adventure, Sci-Fi	Curt Geda, Steven E. Gordon, Bob Richardson	"Mark Millar (comic book: ""The Ultimates""), Bryan Hitch (comic book: ""The Ultimates""), Greg Johnson (screen story), Boyd Kirkland (screen story), Craig Kyle (screen story), Greg Johnson (screenplay), Christopher L. Yost (additional writing), Joe Simon (comic book & character: Captain America), Jack Kirby (comic book & character: Captain America)"	Justin Gross, Grey Griffin, Michael Massee, Marc Worden	To confront an alien menace, General Fury assembles a team of superheroes lead by a recently resuscitated Captain America.	Spanish, English	USA	1 win & 1 nomination.	https://m.media-amazon.com/images/M/MV5BMTYyMjk0NTMwMl5BMl5BanBnXkFtZTgwNzY0NjAwNzE@._V1_SX300.jpg	[object Object]	N/A	6.7	12,075	tt0491703	movie	13 Oct 2009	N/A	N/A	N/A	True
Teen Beach Movie	2013	Not Rated	19 Jul 2013	110 min	Comedy, Family, Fantasy	Jeffrey Hornaday	Vince Marcello, Mark Landry, Robert Horn	Ross Lynch, Maia Mitchell, Gracie Gillam	Two surfing lovers, whose doomed relationship is nearing to a close, find themselves swept into a dimension-traversing wave that sends them into a beach movie musical in the 60's.	English	United States	2 nominations	https://m.media-amazon.com/images/M/MV5BMTQzMjc1OTU5NF5BMl5BanBnXkFtZTgwODIwMTEwMDE@._V1_SX300.jpg	[object Object],[object Object]	N/A	5.8	11,723	tt2325989	movie	30 Jul 2013	N/A	N/A	N/A	True
Phineas and Ferb the Movie: Across the 2nd Dimension	2011	TV-G	05 Aug 2011	78 min	Animation, Action, Adventure	Robert Hughes, Dan Povenmire, Jay Lender	Jon Colton Barry, Dan Povenmire, Jeff 'Swampy' Marsh	Vincent Martella, Ashley Tisdale, Thomas Brodie-Sangster	Phineas and Ferb discover that Perry is a secret agent, and they all get stuck in an alternate dimension where Doofenschmirtz is the ruler of the tri-state area.	Mandarin, Chinese, Min Nan, English	United States, Taiwan, China	Nominated for 1 Primetime Emmy. 3 wins & 4 nominations total	https://m.media-amazon.com/images/M/MV5BMjA3MWQ4OGYtYjQyNS00ZmQxLWJjMjEtY2I1MWJkOTU2MTQ1XkEyXkFqcGdeQXVyMTA4NDI1NTQx._V1_SX300.jpg	[object Object],[object Object]	N/A	7.4	11,556	tt1825918	movie	23 Aug 2011	N/A	N/A	N/A	True
Fullmetal Alchemist the Movie: Conqueror of Shamballa	2005	PG-13	25 Aug 2006	105 min	Animation, Action, Adventure	Seiji Mizushima	Hiromu Arakawa, Shô Aikawa, Jared Hedges	Vic Mignogna, Aaron Dismuke, Jason Liebrecht	Edward Elric, an alchemist from an alternate world, races to prevent the Thule Society from harnessing alchemy to wage war on his home.	Romany, Japanese, German	Japan	5 wins	https://m.media-amazon.com/images/M/MV5BOWZmYWRmYTUtMDFhMS00OTJiLTkwYTgtY2VkNjgxMmI3YzJkXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg	[object Object]	N/A	7.3	11,446	tt0485323	movie	16 Jan 2020	N/A	N/A	N/A	True
Psych: The Movie	2017	TV-PG	07 Dec 2017	88 min	Comedy, Crime, Mystery	Steve Franks	Steve Franks, James Roday Rodriguez	James Roday Rodriguez, Dulé Hill, Timothy Omundson	The old gang comes together during the holidays after a mystery assailant targets one of their own.	English	United States	2 nominations	https://m.media-amazon.com/images/M/MV5BZjE2Mzk5NGItMTEzMi00MmYxLWFlNjEtNGFmZGViNzQ2ZWFkXkEyXkFqcGdeQXVyMjM5NzU3OTM@._V1_SX300.jpg	[object Object],[object Object]	N/A	7.3	11,204	tt6868216	movie	08 Dec 2017	N/A	N/A	N/A	True
Extreme Movie	2008	R	29 Jul 2009	86 min	Comedy	Adam Jay Epstein, Andrew Jacobson	Adam Jay Epstein, Andrew Jacobson, Will Forte	Frankie Muniz, Michael Cera, Ashley Schneider	A sketch comedy movie about the joys and embarrassments of teen sex. But mostly the embarrassments.	English	United States	N/A	https://m.media-amazon.com/images/M/MV5BNDAzNzQ4MDEtOGViNi00YjliLTlkMmItNjc0YWRhZGJhMDJhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg	[object Object]	N/A	3.7	11,159	tt0806147	movie	24 Feb 2009	N/A	N/A	N/A	True
Tom and Jerry: The Movie	1992	G	30 Jul 1993	84 min	Animation, Adventure, Comedy	Phil Roman	Dennis Marks, William Hanna, Joseph Barbera	Richard Kind, Dana Hill, Anndi McAfee	Cat and mouse duo Tom and Jerry reluctantly work together to save a young girl from her evil aunt.	English	United States, Germany	1 nomination	https://m.media-amazon.com/images/M/MV5BMjMxYjU0NmUtOTg0NC00ZGQ5LWEwZjEtZTU4OTgwMzAwYjk5XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg	[object Object],[object Object]	N/A	5.3	11,018	tt0105616	movie	26 Mar 2002	$3,560,469	N/A	N/A	True
An Extremely Goofy Movie	2000	G	29 Feb 2000	79 min	Animation, Comedy, Family, Sport	Douglas McCarthy	Scott Spencer Gorden (screenplay by), Hillary Carlip (additional screenplay material by)	Bill Farmer, Jason Marsden, Jeff Bennett, Jim Cummings	Max goes to college, but to his embarassment his father loses his job and goes to his son's campus.	English	USA, Australia	2 wins & 1 nomination.	https://m.media-amazon.com/images/M/MV5BNTJkNmQ1ODItNTJhOS00NWRhLTg0NjAtYjZlNWYxZWJmNTY4XkEyXkFqcGdeQXVyOTg4MDk3MTQ@._V1_SX300.jpg	[object Object],[object Object]	N/A	6.4	10,662	tt0208185	movie	03 Jun 2003	N/A	N/A	N/A	True
Boruto: Naruto The Movie	2015	PG	28 Mar 2017	95 min	Animation, Action, Adventure	Hiroyuki Yamashita, Toshiyuki Tsuru	Masashi Kishimoto, Ukyô Kodachi	Yûko Sanpei, Kokoro Kikuchi, Ryûichi Kijima	It's been some years since the end of the Shinobi War. Naruto Uzumaki is the 7th Hokage of Konohagakure, in this new era. His son, Boruto Uzumaki, will soon enter the Chûnin exams, alongside Sarada Uchiha and the mysterious Mitsuki.	Japanese	Japan	3 nominations	https://m.media-amazon.com/images/M/MV5BNDIwYjg5YzItZTJmMC00YjJhLWFiNjYtMDU5MmQxOTQxODM2XkEyXkFqcGdeQXVyMjc2Nzg5OTQ@._V1_SX300.jpg	[object Object]	N/A	7.8	10,573	tt4618398	movie	28 Mar 2017	$919,651	N/A	N/A	True
Tim and Eric's Billion Dollar Movie	2012	R	27 Jan 2012	93 min	Comedy	Tim Heidecker, Eric Wareheim	Tim Heidecker, Eric Wareheim, Jonathan Krisel	Tim Heidecker, Eric Wareheim, Robert Loggia	Two guys get a billion dollars to make a movie, only to watch their dream run off course. In order to make the money back, they then attempt to revitalize a failing shopping mall.	English	United States	1 nomination	https://m.media-amazon.com/images/M/MV5BMTU0NTQ5NDYwMV5BMl5BanBnXkFtZTcwNjUzNzUxNw@@._V1_SX300.jpg	[object Object],[object Object],[object Object]	40	5.3	10,118	tt1855401	movie	08 May 2012	$201,436	N/A	N/A	True
Uno: The Movie	2016	N/A	30 Nov 2016	164 min	Comedy	N/A	Geoff Ramsey	Geoff Ramsey, Gavin Free, Ryan Haywood, Jeremy Dooley	What had started as a simple game of UNO! turned into a psychological horror. Coworkers are driven to the edge of madness as they commit to a game of Uno.	English	USA	N/A	https://m.media-amazon.com/images/M/MV5BN2YyNmMzZmQtYjg1MS00OTEwLTkwZDEtOWNlMTEzOWIzMWM3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzQwNDg4MQ@@._V1_SX300.jpg	[object Object]	N/A	9.5	10,106	tt6290024	movie	N/A	N/A	Rooster Teeth Productions	N/A	True
The Powerpuff Girls Movie	2002	PG	03 Jul 2002	73 min	Animation, Action, Adventure	Craig McCracken, Genndy Tartakovsky	Charlie Bean, Lauren Faust, Craig McCracken	Cathy Cavadini, Tara Strong, Elizabeth Daily	The movie shows the origin of the Powerpuff Girls before the cartoon series. It explains why they were born and why they dedicated their lives to fighting crime and the forces of evil.	English	United States	N/A	https://m.media-amazon.com/images/M/MV5BNDE2ZWIyZmItYjNlZC00NmQ4LWIyMjQtMDJiM2JmYWMyOWQzXkEyXkFqcGdeQXVyMTM0NTUzNDIy._V1_SX300.jpg	[object Object],[object Object],[object Object]	65	6.5	10,084	tt0289408	movie	N/A	$11,412,414	Warner Brothers, Cartoon Network	N/A	True
It's Pat: The Movie	1994	PG-13	25 Nov 1994	77 min	Comedy	Adam Bernstein	Julia Sweeney, Jim Emerson, Stephen Hibbert	Julia Sweeney, David Foley, Charles Rocket	The comedic misadventures of a person of indeterminate gender.	English, Japanese	United States	1 win & 7 nominations	https://m.media-amazon.com/images/M/MV5BM2VhMjI0NDQtZWRjMS00ZWY4LTk2MmItZTY4MzE4M2ZmOTQ3L2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg	[object Object],[object Object]	N/A	2.7	9,892	tt0110169	movie	19 Mar 2013	$60,822	N/A	N/A	True
Big Fat Important Movie	2008	PG-13	03 Oct 2008	83 min	Comedy, Fantasy	David Zucker	David Zucker, Myrna Sokoloff, Lewis Friedman	Kevin P. Farley, Kelsey Grammer, Leslie Nielsen	An anti-American filmmaker who's out to abolish the July Fourth holiday is visited by three ghosts who try to change his perception of the country.	English	United States	N/A	https://m.media-amazon.com/images/M/MV5BMjA5MjAyNzcxMF5BMl5BanBnXkFtZTcwNTk2MzI5MQ@@._V1_SX300.jpg	[object Object],[object Object],[object Object]	20	4.1	9,825	tt1190617	movie	01 Jan 2012	$7,013,191	N/A	N/A	True
Left Behind: The Movie	2000	PG-13	02 Feb 2001	96 min	Action, Drama, Fantasy	Vic Sarin	Alan B. McElroy, Paul Lalonde, Joe Goodman	Kirk Cameron, Brad Johnson, Janaya Stephens	The Biblical prophecy of Armegeddon begins when the Rapture instantly takes all believers in Christ from the Earth. A reporter left behind learns that the Anti-Christ will soon take power.	English	Canada	3 nominations	https://m.media-amazon.com/images/M/MV5BMGU3MmMxOWYtZmNhNi00ZjczLWJkYmEtMjJjZjBiZDRiYmZmXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg	[object Object],[object Object],[object Object]	22	4.3	9,750	tt0190524	movie	N/A	$4,224,065	N/A	N/A	True
Doctor Who: The Movie	1996	N/A	14 May 1996	89 min	Adventure, Drama, Sci-Fi	Geoffrey Sax	Matthew Jacobs, Sydney Newman	Paul McGann, Eric Roberts, Daphne Ashbrook	The newly-regenerated Doctor takes on the Master on the turn of the millennium, 31 December 1999.	English	United States, United Kingdom	1 win & 1 nomination	https://m.media-amazon.com/images/M/MV5BMDFiMGU1MmQtMTg0Ny00ZmQ4LTkyMWMtYjVlZGRmMWY5ZDliXkEyXkFqcGdeQXVyMTA0MTI2ODE4._V1_SX300.jpg	[object Object]	N/A	6.3	9,631	tt0116118	movie	08 Feb 2011	N/A	N/A	N/A	True
The Batman Superman Movie: World's Finest	1997	TV-PG	04 Oct 1997	64 min	Animation, Action, Adventure	Toshihiko Masuda	Alan Burnett, Paul Dini, Stan Berkowitz	Tim Daly, Dana Delany, Kevin Conroy	Joker goes to Metropolis with an offer and plan to kill Superman for Lex Luthor while Batman pursues the clown to Superman's turf.	English	United States	N/A	https://m.media-amazon.com/images/M/MV5BYzk0MTI0YmUtMDgwOC00M2U5LTgzMDktM2RhN2M3ZDVmOWFiXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg	[object Object]	N/A	7.7	9,394	tt0169590	movie	N/A	N/A	N/A	N/A	True
Another Gay Movie	2006	Not Rated	03 May 2007	92 min	Comedy, Romance	Todd Stephens	Todd Stephens, Tim Kaltenecker	Michael Carbonaro, Jonathan Chase, Jonah Blechman	Four gay high school friends make a pact to lose their virginity before they go to college.	English	United States	2 wins & 1 nomination	https://m.media-amazon.com/images/M/MV5BMTYzMTIzNDI3MV5BMl5BanBnXkFtZTgwNDQwMjMxMTE@._V1_SX300.jpg	[object Object],[object Object],[object Object]	37	4.9	9,060	tt0443431	movie	21 Nov 2006	$654,132	N/A	N/A	True
Turbo: A Power Rangers Movie	1997	PG	28 Mar 1997	99 min	Action, Adventure, Family	Shuki Levy, David Winning	Shuki Levy, Shell Danielson, Haim Saban	Jason David Frank, Catherine Sutherland, Hilary Shepard	A space alien is threatening to bring destruction on Earth, and the Power Rangers are enhanced with turbo powers in order to prevent his plan.	English	Japan, United States	1 nomination	https://m.media-amazon.com/images/M/MV5BMzAxMDA0MGUtMWJjYy00YWNlLTk1NmEtNTM5Y2FjYjMzNjM5XkEyXkFqcGdeQXVyNDAxNjkxNjQ@._V1_SX300.jpg	[object Object],[object Object],[object Object]	35	3.5	8,962	tt0120389	movie	02 Sep 2003	$8,363,899	N/A	N/A	True
